,Eligibility,Frequency,Arrangements,Costs,Privacy,doc
0,"(Article 1)
- **Eligible Workers**: Employees of the Association Edenis.
- **Criteria**: The document does not specify additional criteria such as tenure, employment type, or job characteristics.

### F","(Article 6.4)
- **Telework Frequency**: The document does not mention the frequency of telework allowed.

### A","(Article 6.2.3)
- **Establishing Telework Arrangements**:
  - Permission must be obtained.
  - Managers have discretion over the allowability of telework.

### C","(Article 6.2.3)
- **Coverage of Costs**: The document does not mention coverage of costs associated with telework such as IT setup and meal allowance.

### P","(Article 6.2.3)
- **Right to Disconnect and Privacy**:
  - The document does not mention specific provisions for the right to disconnect.
  - Privacy of the worker is not explicitly addressed.

If any of the topics are not mentioned in the document, it is clearly stated. This summary adheres to the 300-token limit.",ACCOTEXT000038095839
1,"- **Article 2**: 
  - Employees must be autonomous and proficient in their tasks, as evaluated by their manager.
  - Tasks must be dematerializable and sufficient in volume to be grouped into telework days.
  - Telework can be performed from home, a telework center, or a remote site provided by the employer.

### F","- **Article 5**:
  - Minimum of three days per week in the office.
  - Exceptions for employees with disabilities or medical recommendations.
  - Fixed and non-transferable telework days.
  - Employees of level 5 and above can opt for an annual telework package of 20 days, with specific scheduling requirements.

### A","- **Article 3**:
  - Telework can be initiated by the employee or employer.
  - Employees must submit a formal request and undergo an evaluation process.
  - Managers and employees agree on telework rules and schedules.
  - Decisions are communicated within 45 days, with a possibility for re-evaluation if initially denied.

### C","- **Article 6**:
  - Annual allowance of €10 per month for one telework day per week, covering internet, electricity, water, and heating.
  - €2.50 per telework day for those on an annual package.
  - Meal costs covered by providing a meal voucher for each telework day.
  - Public transport subscription costs are not reduced for telework days.

### P","- **Article 5**:
  - Employees must adhere to regular working hours and be reachable during fixed hours.
  - Employees manage their work time within legal rest periods.
  - The document does not mention specific provisions for the right to disconnect or additional privacy measures.",ACCOTEXT000038548870
2,"- **Article 6**: 
  - **Job Characteristics**: Only positions compatible with remote work are eligible. Roles requiring physical presence are excluded.
  - **Employee Criteria**: Must demonstrate autonomy, organizational skills, and time management.
  - **Equipment**: Must use company-provided laptop and phone.
  - **Location**: Must have a suitable, safe, and secure remote work environment with adequate internet and phone connectivity.
  - **Service Continuity**: Remote work should not disrupt service continuity.

### F","- **Article 7**:
  - **Regular Telework**: Limited to one day per week, with at least three days in the office.
  - **Occasional Telework**: Limited to two days per month.
  - **Special Cases**: For employees on long trips, telework should be on the day before or after rest days.

### A","- **Article 12**:
  - **Regular Telework**: Requires a written request and approval from the hierarchical superior. An addendum to the employment contract is needed.
  - **Occasional Telework**: Requires a written request to the superior at least one day in advance. Approval is needed, and lack of response implies refusal.

### C","- **Article 6.1**:
  - **IT Setup**: Company provides necessary equipment (laptop, phone) but no additional items like printers or extra screens.
  - **Meal Allowance**: The document does not mention meal allowance.

### P","- **Article 15.2**:
  - **Right to Disconnect**: Employees have the right to disconnect, similar to on-site employees.
- **Article 16**:
  - **Data Privacy**: Employees must adhere to the company's IT security policies and ensure the confidentiality of work-related information.

This summary adheres to the 300-token limit and provides a clear overview of the telework policy for employees.",ACCOTEXT000037962959
3,"- **Article Reference**: The document does not mention eligibility.
- **Summary**: The document does not specify which workers are eligible for telework.

### F","- **Article Reference**: The document does not mention frequency.
- **Summary**: The document does not specify the frequency of telework allowed.

### A","- **Article Reference**: 8
- **Summary**:
  - Telework should be instituted by an agreement collective d’entreprise.
  - The agreement will define the framework, modalities, and eligible positions.
  - Organizations are invited to propose suggestions.

### C","- **Article Reference**: The document does not mention costs.
- **Summary**: The document does not specify coverage of costs associated with telework.

### P","- **Article Reference**: The document does not mention privacy.
- **Summary**: The document does not specify provisions for the right to disconnect and the privacy of the worker.",ACCOTEXT000038332972
4,"- The document does not mention eligibility criteria for telework.

2. *","- The document does not mention the frequency of telework allowed.

3. *","- The document does not mention the process by which telework arrangements are established.

4. *","- The document does not mention the coverage of costs associated with telework.

5. *","- The document does not mention provisions for the right to disconnect and the privacy of the worker.

The document primarily focuses on the negotiation process and agreements related to other employment conditions, such as additional leave for bereavement and the study of telework possibilities in the future.",ACCOTEXT000038752339
5,"(Article 8.1)**

- The document does not mention specific criteria for worker eligibility for telework, such as tenure, employment type, or job characteristics.

*","(Article 8.1)**

- The document does not mention the frequency of telework allowed, such as the number of days per week permitted or minimum requirements for the employee’s presence in the office.

*","(Article 8.1)**

- The telework agreement is established for a determined period, ending on April 30, 2019.
- The agreement will be reviewed and potentially revised within two months before its expiration.
- The document does not specify whether permission must be obtained or if the manager has discretion over the allowability of telework.

*","- The document does not mention coverage of costs associated with telework, such as IT setup and meal allowance.

*","- The document does not mention provisions for the right to disconnect and the privacy of the worker.

**Summary**

The document primarily focuses on the duration and review process of the telework agreement but lacks specific details on eligibility, frequency, costs, and privacy provisions.",ACCOTEXT000039429922
6,"- **Article Reference**: The document does not mention eligibility.
- **Summary**: The document does not mention which workers are eligible for telework.

### F","- **Article Reference**: The document does not mention frequency.
- **Summary**: The document does not mention the frequency of telework allowed.

### A","- **Article Reference**: The document does not mention arrangements.
- **Summary**: The document does not mention the process by which telework arrangements are established.

### C","- **Article Reference**: The document does not mention costs.
- **Summary**: The document does not mention the coverage of costs associated with telework.

### P","- **Article Reference**: E - Autres thèmes de la Négociation
- **Summary**:
  - Employees have the right to disconnect outside of working hours, on weekends, holidays, and during leave periods.
  - There is no obligation to read or respond to emails and phone calls during these times.
  - Employees are asked to limit sending emails or making phone calls to the necessary minimum during these periods.",ACCOTEXT000038875136
7,"- **Article 3.3.2**: 
  - Only employees meeting specific eligibility conditions can apply for occasional telework.
  - **Article 5.1**: 
  - Part-time employees eligible for telework can telework up to one day per week.

### F","- **Article 5.1**: 
  - Regular telework is limited to a maximum of two days per week.
  - Managers can designate specific days when telework is not allowed to ensure team presence.
  - Part-time employees can telework up to one day per week.

### A","- **Article 3.3.2**: 
  - Employees must submit a telework request via the time management system with a five-day notice, which can be shortened by mutual agreement.
  - Managers have the discretion to approve or deny telework requests and must provide reasons for any denial.
- **Article 7**: 
  - Telework arrangements can be adapted, suspended, or terminated by either the employee or the manager with appropriate notice and justification.

### C","- The document does not mention costs.

### P",- The document does not mention privacy.,ACCOTEXT000039429937
8,"- **Article 3**: The document does not mention specific criteria for worker eligibility for telework.

### F","- **Article 3**: The document does not mention the frequency of telework allowed.

### A","- **Article 3**: 
  - Telework is not mandatory and cannot be demanded by employees.
  - Previous negotiations in 2018 resulted in a disagreement.
  - The company emphasizes the importance of team cohesion and social interaction, which they believe telework could undermine.
  - Individual telework requests have been addressed by the company on a case-by-case basis.

### C","- **Article 3**: The document does not mention coverage of costs associated with telework.

### P",- **Article 3**: The document does not mention provisions for the right to disconnect and the privacy of the worker.,ACCOTEXT000039429938
9,"(Article 2)
- **Eligible Workers**: 
  - Employees with at least 6 months of tenure.
  - Excludes apprentices, contracts of professionalization, and interns.
  - Specific job roles and characteristics are not detailed.

### F","(Article 2)
- **Frequency of Telework**:
  - Telework is allowed one day per week.
  - No minimum office presence requirement is specified.

### A","(Article 2)
- **Establishing Telework Arrangements**:
  - Employees must request telework.
  - Approval is at the discretion of the manager.

### C","(Article 2)
- **Coverage of Costs**:
  - The document does not mention coverage of IT setup or meal allowance costs.

### P","(Article 2, Article 7)
- **Right to Disconnect and Privacy**:
  - An agreement on the right to disconnect was signed on June 19, 2017.
  - Ensures proper use of digital tools while preserving health and respectful work conditions.

The document does not provide specific details on IT setup costs, meal allowances, or additional privacy measures beyond the right to disconnect.",ACCOTEXT000042525559
