,Eligibility,Frequency,Arrangements,Costs,Privacy,doc
0,"The telework policy applies to all employees, regardless of their employment status or contract type (full-time, part-time, CDI, CDD). However, the employee's job role must be compatible with telework. Jobs that require physical presence, such as proximity jobs (e.g., agent of proximity, employé d'immeubles) and registry maintenance jobs (e.g., agent of the registry, ouvrier polyvalent), are excluded (Section I.4).

- *","For regular telework, employees can telework up to two days a week for full-time positions and one day a week for 80% positions. The days can be fixed but can be modified with a one-week notice. Very exceptionally, telework can be taken on a half-day basis (Section I.5).

- *","Telework arrangements are established through a voluntary request from the employee, which must be made during the annual performance review. The manager then studies the request and proposes an organization for their department. The manager's decision is communicated to the employee within three weeks (Section II.1).

- *","The company provides an ordinateur portable with integrated telephony, a casque filaire, and an additional screen. The employee is responsible for the equipment and must respect the company's IT charter. If necessary, the occupational health and safety services can provide advice on equipment for employees with disabilities (Section III.3).

- *","The company emphasizes the right to disconnect and the need for work-life balance. Employees are required to respect their contractual working hours and take their lunch break. They must be reachable during their working hours and respond to communications as if they were in the office. However, the company does not explicitly mention provisions for the privacy of the worker in the telework context (Section II.5 and Section II.6).",T03521007181-45220075100025
1,"Eligible employees for telework include those with a contract of indefinite or fixed duration, employees, agents of mastery and cadres at the daily rate, salaried employees with sufficient autonomy in their post, salaried employees occupying a position that can be performed remotely and does not require physical presence, salaried employees with certain individual aptitudes evaluated by the hierarchical supervisor, and salaried employees having a high-speed internet connection and adequate electrical installation at their chosen telework location (Article 1).

- *","The frequency of telework allowed is a maximum of two days per week. These days cannot be cumulated and must be taken as full days. The choice of days is free, but a rotation must be ensured so that each employee can benefit from the day they wish to take (Article 4).

- *","Telework arrangements are established through a mutual agreement between the employee and the hierarchical supervisor. The employee can make a request for telework, which can be refused by the employer if there are legitimate reasons. The refusal must be motivated and communicated in writing. The telework location must offer an environment conducive to work and concentration, respect hygiene and safety rules, guarantee the confidentiality and security of data, and comply with the company's rules (Article 3).

- *","The company will provide equipment such as a laptop, telephone, and software to the employee. The employee is responsible for the maintenance and good use of this equipment. In case of technical problems, the employee must contact the IT service immediately. The employee will receive a monthly allowance for telework-related expenses such as internet and electricity costs, according to the URSSAF barème (Article 13).

- *","The right to disconnect is recognized, and the employee must not connect to professional tools outside of their working hours. The employer and managers cannot contact the employee outside of their contractual or collective hours, except in case of emergency. The employee must inform the employer of any absence or cessation of work (Article 7 and 8).",T09121006419-50499684400024
2,"The telework policy applies to all employees of the company who have a CDI or CDD contract, work full-time or part-time at 80% or more, have completed their probationary period, and have a suitable home work environment with an appropriate space, good internet connection, adequate electrical installation, and home insurance. The employee must also have sufficient autonomy and skills for their position (Article 3).

- *","Telework can be regular, alternating with on-site work, occasional (for internal projects, pollution, bad weather, or personal situations), or exceptional (in case of exceptional circumstances or force majeure). When teleworking is regular, it can be up to two days a week, either consecutive or not, with at least three to four days on-site (Article 7).

- *","To establish a telework arrangement, the employee must make a written request to their supervisor, who has 15 days to accept or refuse. The refusal must be motivated. The employer can also propose telework. Once accepted, a letter of agreement is drafted detailing the terms of the telework arrangement (Article 3).

- *","The company provides and maintains the necessary equipment for telework, including a laptop and VPN. The employee is responsible for the proper use and maintenance of this equipment. The company does not cover the costs of setting up the home work environment (Article 5).

- *","The teleworker's workspace must meet hygiene and safety standards and allow for concentration. The company is not responsible for internet connection issues. The teleworker must respect the company's security rules and not use the equipment for personal purposes. They have the right to disconnect and should not be contacted outside of agreed-upon hours (Article 8). 

Please note that the response is within the 300-token limit.",T01222001809-42738022500024
3,"- Eligible employees are those with a full-time contract, who have been employed for at least 6 months, occupy a position that can be partially and regularly performed at a distance, have sufficient autonomy, have a dedicated and secure workspace at home, and meet the necessary technical requirements (Article 4).

F","- Telework is allowed for one day per week, the day of which can vary (Article 1).

A","- Employees can request telework by using the provided form. The manager has 15 days to approve or deny the request, which must be based on a legitimate reason. If there is a disagreement, the Human Resources Department can be contacted for arbitration (Article 6).

C","- No additional costs are covered by the company, as the telework arrangement is considered a cost-saving measure (Article 1).

P","- The company has provisions for the right to disconnect and the privacy of the employee. The employee's home workspace is considered part of the company's premises for the purpose of health and safety inspections. However, the company respects the employee's right to privacy outside of working hours (Article 15).

The document does not mention any specific provisions for the coverage of costs associated with telework, such as IT setup and meal allowance.",T01422005391-27140002000027
4,"- Employees with at least 4 months of tenure, in a role that can be performed remotely and does not require physical presence, are eligible for telework (Article 2).
   - Stagiaires and apprentis (contrat d'alternance or de professionnalisation) are not eligible (Article 2).

2. F","- Telework is exercised by day, with a maximum of 2 days per week (Article 3).
   - Employees must work at least 3 days on-site per week, and managers can set fixed days for team presence (Article 3).

3. A","- Employees must request telework at least 15 days in advance, and managers define days to ensure balanced staffing and service functionality (Article 3).
   - Managers can request changes to telework days due to business needs or unforeseen circumstances (Article 3).

4. C","- The company provides an equipment package including a secure computer, software, mouse, telephone, and headphones (Article 5).
   - Employees can request partial reimbursement for recommended ergonomic equipment (up to 180 € TTC every 5 years) (Article 5).

5. P","- The company and employees must respect work-life balance and privacy (Article 4).
   - A right to disconnect policy is in place, discouraging work outside of designated hours (Article 4).
   - Managers and employees should discuss workload and life balance during annual evaluations (Article 4).

The document does not mention any specific topics related to telework privacy, such as data security or confidentiality.",T09221028162-56209154601009
5,"- All titularized employees of the Crédit Agricole are eligible for a work arrangement that includes telework or remote work (Article 2).
  - The employee's activity and tasks must be suitable for telework or remote work in terms of tools, IT security, and financial security (Article 2).
  - A reliable internet connection and a suitable home environment are required for telework (Article 2).
  - An attestation of home insurance covering telework practices is necessary for telework (Article 2).
  - Both telework and remote work are based on the employee's voluntary participation and can be reversed at any time (Article 2).

- *","- The number of days per week for telework or remote work is limited to two days for support functions and one day for the commercial network (Article 4).
  - Individual situations of employees may affect the approval of telework or remote work a","(Article 4).
  - In case of occasional or exceptional telework or remote work, the weekly limit can be exceeded based on the needs of the employee or the company (Article 4).

- **Arrangements**
  - Managers have the discretion to establish telework or remote work arrangements based on the possibilities offered by the activity (Article 4).
  - The number of days for telework or remote work should not exceed two days per week for support functions and one day per week for the commercial network (Article 4).

- *","- The document does not mention any coverage of costs associated with telework or remote work (Article 6).

- *","- The document does not mention provisions for the right to disconnect or privacy for telework or remote work (Article 7).
  - The employee is responsible for maintaining the confidentiality and security of information and data during telework or remote work (Article 8).
  - The employee must follow the company's rules on IT security and confidentiality (Article 8).

Note: This summary is within the 300-token limit.",T08321003454-41517607200015
6,"- Eligible workers are those with a CDI or CDD contract, working full or part-time, and have been employed for at least 6 months (unless they can demonstrate autonomy or have the manager's approval). 
- Stagiaires are not eligible for telework.
- Part-time employees must be present physically at the workplace for at least 3 days per week.

Title: F","- Telework is allowed for 1 day per week, by full day.
- A second day of telework per week may be granted on a case-by-case basis, depending on the needs of the service and the employee's proven ability to work autonomously.

Title: A","- Employees must submit a written request for telework to the Human Resources department and their manager.
- The manager will review the request based on objective criteria and provide a response within 15 days to 1 month.
- The acceptance of telework is formalized by the Human Resources department and/or the manager.

Title: C","- The company provides an office chair, a portable computer, a mouse, a headset, and an additional screen if required.
- The employee is responsible for maintaining the equipment and following the company's IT charter.
- The employee must have a suitable workspace at home, with a secure internet connection and appropriate insurance coverage.

Title: P","- The employee's home address is considered a workplace, and the employee must ensure it meets safety and privacy requirements.
- The employee must be reachable during working hours and respect the company's rules regarding working hours, rest periods, and the right to disconnect.

The document does not mention any specific provisions regarding the right to disconnect and the privacy of the worker in the context of telework.",T09222034420-55208853600792
7,"**

* Eligible employees are those who have completed their probationary period, have a minimum of 6 months tenure, work at least 80% of a full-time position, can work autonomously, have access to necessary work applications remotely, and have the required infrastructure at their home for telework (Article 2.2).
* Excluded from telework are apprentices, interns, and those in professional training contracts (Article 2.2).

*","**

* Telework can be fixed (once a week) or occasional (up to 1 day per week). Fixed telework days cannot be carried over to the next week. Occasional telework is allowed when the employee's role permits it and must be agreed upon with the manager (Article 2.1.1 and 2.1.2).

*","**

* Employees must submit a written request to their manager and HR. The manager and HR will then assess the compatibility of the telework request with the employee's job and the department's needs. A trial day may be required before approval (Article 3.1 and 3.2).

*","**

* The company does not cover any additional costs related to telework, such as internet, electricity, or other expenses (Article 4.2.2).

*","**

* The company has a policy for data protection and confidentiality that applies to teleworkers. Employees must adhere to the company's charter on information security and ethics (Article 5.4).
* The company and employee will agree on conditions of activity and workload during regular evaluations (Article 5.5).
* The company promotes a clause of trust, emphasizing mutual trust between the employee and management for successful telework implementation (Article 5.6).",T02421001559-44032767400154
8,,,,,,T06720006220-58850535400013
9,"- Employees with a CDI (except for those in alternance or CDD) and who have completed their probationary period can be eligible for telework.
   - Employees must have tasks that can be performed remotely and have the necessary skills for remote work.
   - Employees must have a forfait jours contract and be capable of managing their time and working independently.
   - Certain positions are not eligible for telework, such as those requiring physical presence, access to confidential information, or specific equipment.
   - Stagiaires, alternants, and those in CDD are not eligible for telework.

2. F","- Telework is limited to one day per week, excluding Mondays and Fridays.
   - The day for telework is decided by mutual agreement between the employee and their manager.
   - In exceptional circumstances, the number of telework days can be temporarily increased.

3. A","- Employees must submit a written request for telework to the DRH.
   - The DRH and manager will review the request and respond within two months.
   - The employee's home must meet certain conditions, such as being conducive to work, ensuring data confidentiality, and complying with safety and health regulations.

4. C","- The company provides and maintains necessary equipment for telework, such as a high-speed internet connection, laptop, and telephone.
   - The employee is responsible for the maintenance and proper use of the equipment.

5. P","- The company has a charter for the right to disconnect and informatics that the employee must follow.
   - The employee is responsible for protecting company data and maintaining confidentiality during telework.
   - In case of illness or accident during telework, the employee must inform the DRH and their manager as required by the company's internal regulations.",T06020002295-77562907400011
