,Eligibility,Frequency,Arrangements,Costs,Privacy,doc
0,"* Eligible workers are those who are not apprentices, stagiaires, or on other types of temporary contracts. They must have a minimum of six months of seniority and be full-time or part-time employees with a work schedule of at least 3/5th of a full-time position.
* Eligible activities are those that can be performed remotely and require the use of an IT system.
* Eligible workers must have the necessary autonomy and skills to work independently and manage their time effectively.

F","* Telework is allowed for a maximum of three days per week, with at least two days of mandatory presence at the workplace.
* The telework arrangement is for an indefinite period, with a three-month trial period during which either party can terminate the agreement with a five-day notice period.

A","* Telework arrangements are established through a written agreement between the employee and the employer, specifying the terms and conditions of the arrangement.
* The employee must provide an attestation of their home insurance policy and a certificate of compliance with the ergonomic recommendations for setting up a home office.

C","* The employer will reimburse the employee for up to 50% of the costs of setting up a home office, up to a maximum of 150 euros per three-year period.
* The employer will provide the necessary IT equipment and software for the employee to perform their duties remotely.

P","* The employer will ensure the protection of the employee's personal data and the confidentiality of the information exchanged during the telework arrangement.
* The employee will be required to comply with the company's IT charter and security policies.

Note: The document does not mention any specific provisions for the right to disconnect or the privacy of the worker beyond the protection of personal data and confidentiality.",T07520026326-32201936500509
1,"- Eligible workers are those with a minimum of 6 months tenure, autonomy in their post, and a role that can be performed at a distance without disrupting the organization or team.
- The document does not mention specific criteria for tenure, employment type, or job characteristics.

*","- Telework is allowed for up to 2 days per week or 4 half-days per week.
- The number of days is determined by the supervisor and is non-cumulative and non-reportable.
- The document does not mention specific days or periods for telework.

*","- Telework arrangements are established through a formal request process and are subject to the approval of the supervisor and the SPL.
- The document does not mention the manager's discretion or the process for permission.

*","- The SPL covers the costs of IT setup and meal allowance.
- The document does not mention specific coverage or details.

*","- The document does not mention provisions for the right to disconnect or the privacy of the worker.

Note: The document does not mention specific details for some categories, and the response is based on the provided information.",T05022003282-83278659400024
2,"- Eligible workers are those with at least 6 months tenure, full-time or part-time employees, apprentices, and interns.
- Excluded are those with insufficient autonomy, those requiring physical presence, and those with incompatible job characteristics.
- The document does not mention handicap, pregnancy, or family situations.

F","- Eligible employees can telework 2 days per week, or 1 day for part-time employees.
- The document does not mention minimum requirements for office presence.

A","- Telework arrangements are established through a formal request process, with manager approval based on job compatibility and employee autonomy.
- The document does not mention manager discretion or permission requirements.

C","- The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

P","- The document does not mention provisions for the right to disconnect or privacy of the worker.

Note: The document does not mention specific article numbers for each category.",T09221028183-50956027200015
3,"- The document does not mention specific criteria for eligibility, but it does state that telework is available to all employees under certain conditions.

*","- Telework is available up to 3 days per week for full-time employees.

*","- Telework arrangements are established through a formal request and agreement process between the employee and the employer.

*","- The document does not mention coverage of costs associated with telework.

*","- The document does not mention provisions for the right to disconnect or the privacy of the worker.

Note: The document provided does not contain specific information on the topics requested. It is a preamble to an agreement and does not contain the actual agreement.",T02921005070-77757176100389
4,"Eligible workers are those in CDI or CDD initial for more than 3 months, alternance after 3 months, temps partiel of at least 3/5th (21h), and certain stages. Posts must be eligible, i.e., not requiring physical presence or specific equipment. Eligibility is based on job nature, autonomy, responsiveness, team organization, and equipment ownership (Article 2).
- *","Regular telework is up to two days per week for full-time employees and one day for temps partiel of at least 3/5th. Occasional telework is up to 10 days per year (Article 8).
- *","Telework arrangements are established through a written request to the manager, who has discretion. An avenant to the contract is required for regular telework (Article 3).
- *","The document does not mention coverage of costs associated with telework.
- *","The right to disconnect is respected, and teleworkers are required to be reachable during work hours. The document does not explicitly mention privacy provisions (Article 7).

Note: The document does not mention the process for establishing telework arrangements or coverage of costs.",T03821008674-95880877601998
5,"- All employees are eligible for telework, except those with activities deemed incompatible (e.g., requiring physical presence, specific applications, or on-site training) (Article 3).

*","- Telework is allowed up to 2 days per week, with a minimum of 2 days per week on-site for part-time employees (Article 4.1).

*","- Telework arrangements are established through a voluntary process, with the employee submitting a request to their manager and receiving a response within 15 days (Article 5.1).

*","- The company covers a 2.50 EUR per day telework allowance for electricity, heating, and internet costs (Article 5.3).
- A 150 EUR participation for ergonomic equipment is available for CDI employees (Article 5.4).

*","- The company respects the privacy of teleworkers, with no contact outside of agreed-upon hours and a right to disconnect (Article 2).
- Teleworkers are responsible for ensuring a safe and secure work environment (Article 2).
- The document does not mention specific provisions for the right to disconnect or privacy beyond the general provisions.

Note: The document does not explicitly mention the right to disconnect or specific privacy provisions for teleworkers.",T03521009292-35386720300013
6,"- Telework is available to full-time and part-time employees with at least six months of tenure in their role.
- Employees must have the necessary autonomy and professional skills to perform their duties remotely.
- The employee's role must be suitable for telework, and the employee must have a dedicated workspace and adequate technology at home.
- The document does not mention specific criteria for telework f",".

**Frequency**
- Telework a","are established through an avenant to the employment contract.
- Regular telework is defined as a consistent, part-time arrangement.
- Occasional and temporary telework are available for specific situations and time limits.

**Arrangements**
- Employees must submit a written request for telework to their manager and HR.
- The manager and HR will review the request and respond within one month.
- A commission of appeal is available for disputes.

*","- The document does not mention specific coverage for telework costs.

*","- The document does not explicitly address the right to disconnect or privacy provisions.
- Employees are responsible for maintaining a suitable work environment and adhering to the company's IT charter.

The document does not mention specific criteria for telework frequency.",T07518004260-38756523700022
7,"- Eligible workers are those in CDI or CDD, working at least 80% of full-time hours, after their trial period and with at least 3 months of continuous presence without telework.
- The employee must have autonomy in their professional work, good knowledge of their post, and the ability to work independently and manage their time.
- The employee's role must be suitable for telework, and the employee must have the necessary technical skills and resources.

*","- Telework is allowed up to 2 days per week, non-consecutively, with a minimum of 3 days of on-site presence.
- Days cannot be carried over from one week to the next.

*","- Telework arrangements are established through a formal request process, with approval from the employee's manager and HR.
- The employee must complete an autodiagnostic questionnaire and provide necessary documentation.

*","- The document does not mention coverage of costs associated with telework.

*","- The document does not mention provisions for the right to disconnect or the privacy of the worker.

Note: The document does not mention specific details regarding the right to disconnect or privacy provisions for teleworkers.",T09220020795-32484709400277
8,"Eligible workers are those in full-time contracts, not benefiting from specific working time amendments, with expertise and autonomy in their roles, and possessing necessary IT skills. They must have a suitable workspace at home with high-speed internet and a quiet, isolated room. The document does not mention apprentices, professionalization contract holders, interns, probationary period workers, or itinerant workers. Directors or service managers can deny telework for specific reasons.
- *","Telework is allowed 1 day per week, with the possibility of 2 days for those aged 55 and above with 10 years of seniority. The mardi is reserved for in-person meetings and cannot be used for telework.
- *","To establish telework arrangements, eligible employees must submit a written request to their manager, detailing their motivation, desired telework day, home workspace location, telework duration, and IT equipment. The manager will review the request and arrange an interview to assess the employee's motivations.
- *","The document does not mention cost coverage for telework arrangements.
- *","The document does not explicitly address the right to disconnect or privacy provisions for teleworkers.

Confidence: 95%",T09420005630-55213178100122
9,"- Eligible workers are those with a CDI or CDD contract and at least one year of tenure in the company (Article 2.2).
- Eligible positions are those that do not require physical presence in the office and can be performed with the same efficiency as in the office (Article 2.3).
- The document does not mention specific criteria for job characteristics or employment type.

F","- Telework is allowed for one day per week (Article 2.3).
- The day of the week is chosen by the employee and must be consistent (Article 2.3).

A","- Telework arrangements are established through a double voluntary agreement between the employer and employee (Article 2.1).
- The employee must submit a request to their manager and the HR department (Article 3.1).
- The manager will inform the employee of the decision within a week (Article 3.2).

C","- The document does not mention coverage of costs associated with telework.

P","- The document does not mention provisions for the right to disconnect or the privacy of the worker.

The document does not mention specific criteria for job characteristics or employment type.",T08922001980-34281794700043
